Kayser - 36 Studies
Paganini - 24 Caprices
Kreutzer - 42 Etudes
Dont - Etudes and Caprices Op. 35
Gavinées – 24 Matinées
Rode – 24 Caprices
Fiorillo – 36 Études or Caprices
Wohlfahrt – 60 Studies Op. 45
Barber – Violin Concerto
Vivaldi – Concerto No. 1 in E major “Spring”
Vivaldi – Concerto No. 2 in G minor “Summer”
Vivaldi – Concerto No. 3 in F major “Autumn”
Vivaldi – Concerto No. 4 in F minor “Winter”
Mozart – Violin Concerto No. 5
